Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33,0,95.2474,422.673,1161.09,115.055,142.053,1155.22,-113.665,314.948,1197.53,-101.387,212.762,1192.67,26.2467,481.229,870.086,8.25142,452.35,670.856,-5.51535,452.231,467.609,-9.68128,397.541,241.242,-68.1826,347.895,189.46,148.818,394.662,195.598,55.8248,94.8946,862.681,21.3297,125.959,670.178,-17.8295,122.81,463.366,-14.667,173.873,219.987,-73.979,231.965,194.251,132.277,168.401,197.633
34,0,95.3145,422.711,1161.08,115.098,142.088,1155.21,-113.611,315.009,1197.55,-101.331,212.816,1192.68,26.2965,481.259,870.079,8.31772,452.365,670.851,-5.47396,452.239,467.605,-9.67354,397.54,241.239,-68.1894,347.899,189.472,148.821,394.659,195.597,55.8789,94.9139,862.677,21.3683,125.974,670.177,-17.8091,122.824,463.371,-14.666,173.876,219.988,-73.9804,231.965,194.253,132.278,168.402,197.633
35,0,95.3825,422.749,1161.06,115.142,142.121,1155.21,-113.556,315.068,1197.57,-101.275,212.87,1192.69,26.3469,481.289,870.071,8.38357,452.379,670.847,-5.43288,452.246,467.601,-9.66586,397.54,241.236,-68.196,347.902,189.482,148.824,394.657,195.595,55.9328,94.933,862.672,21.4066,125.989,670.176,-17.7889,122.838,463.376,-14.6651,173.878,219.99,-73.9818,231.966,194.255,132.278,168.403,197.632
36,0,95.4515,422.786,1161.05,115.187,142.154,1155.2,-113.5,315.126,1197.59,-101.218,212.923,1192.7,26.3979,481.318,870.063,8.44896,452.393,670.843,-5.39212,452.254,467.596,-9.65823,397.539,241.234,-68.2026,347.906,189.493,148.827,394.655,195.594,55.9865,94.9517,862.667,21.4447,126.005,670.175,-17.7688,122.852,463.381,-14.6641,173.881,219.991,-73.9833,231.967,194.257,132.279,168.404,197.632
37,0,95.5214,422.822,1161.04,115.234,142.186,1155.19,-113.444,315.183,1197.61,-101.159,212.974,1192.71,26.4494,481.346,870.056,8.51389,452.407,670.839,-5.35165,452.261,467.592,-9.65066,397.538,241.231,-68.2091,347.909,189.504,148.829,394.652,195.592,56.0399,94.9702,862.663,21.4825,126.02,670.175,-17.7488,122.865,463.385,-14.6632,173.884,219.993,-73.9848,231.967,194.259,132.279,168.406,197.632
38,0,95.5923,422.858,1161.03,115.282,142.217,1155.18,-113.386,315.24,1197.63,-101.1,213.025,1192.72,26.5015,481.374,870.049,8.57837,452.421,670.835,-5.3115,452.269,467.588,-9.64314,397.537,241.229,-68.2155,347.913,189.515,148.832,394.65,195.591,56.0931,94.9885,862.658,21.5201,126.034,670.174,-17.729,122.879,463.39,-14.6623,173.886,219.994,-73.9863,231.968,194.261,132.28,168.407,197.632
39,0,95.6641,422.893,1161.02,115.33,142.248,1155.17,-113.328,315.295,1197.65,-101.04,213.074,1192.74,26.5542,481.401,870.042,8.64238,452.434,670.831,-5.27166,452.276,467.585,-9.63568,397.536,241.226,-68.2219,347.916,189.525,148.835,394.647,195.589,56.146,95.0065,862.653,21.5574,126.049,670.173,-17.7093,122.892,463.394,-14.6614,173.889,219.996,-73.9878,231.968,194.262,132.28,168.408,197.631
40,0,95.7369,422.927,1161.01,115.38,142.278,1155.16,-113.268,315.349,1197.67,-100.979,213.123,1192.75,26.6074,481.428,870.035,8.70595,452.447,670.827,-5.23212,452.283,467.581,-9.62827,397.536,241.224,-68.2281,347.919,189.536,148.837,394.645,195.588,56.1987,95.0243,862.649,21.5944,126.064,670.172,-17.6898,122.906,463.399,-14.6605,173.892,219.997,-73.9893,231.969,194.264,132.281,168.409,197.631
41,0,95.8106,422.96,1161,115.432,142.308,1155.15,-113.208,315.403,1197.69,-100.917,213.171,1192.76,26.6611,481.454,870.028,8.76905,452.46,670.823,-5.19289,452.29,467.577,-9.62091,397.535,241.221,-68.2343,347.923,189.546,148.84,394.643,195.586,56.2512,95.0418,862.644,21.6312,126.078,670.171,-17.6704,122.919,463.403,-14.6595,173.894,219.999,-73.9909,231.97,194.266,132.281,168.41,197.631
42,0,95.8851,422.993,1160.99,115.484,142.336,1155.14,-113.146,315.455,1197.71,-100.854,213.218,1192.77,26.7154,481.48,870.022,8.83169,452.473,670.819,-5.15397,452.297,467.573,-9.61361,397.534,241.219,-68.2404,347.926,189.556,148.843,394.641,195.585,56.3034,95.0591,862.639,21.6677,126.092,670.17,-17.6512,122.932,463.408,-14.6587,173.897,220,-73.9924,231.97,194.268,132.282,168.411,197.631
43,0,95.9606,423.025,1160.98,115.538,142.364,1155.13,-113.084,315.506,1197.73,-100.79,213.264,1192.78,26.7702,481.505,870.015,8.89387,452.486,670.815,-5.11536,452.303,467.569,-9.60637,397.533,241.216,-68.2464,347.929,189.566,148.845,394.638,195.584,56.3554,95.0761,862.634,21.704,126.106,670.17,-17.6321,122.945,463.412,-14.6578,173.899,220.002,-73.994,231.971,194.27,132.283,168.413,197.63
44,0,96.0369,423.057,1160.97,115.592,142.392,1155.12,-113.021,315.557,1197.75,-100.725,213.308,1192.79,26.8255,481.529,870.009,8.9556,452.498,670.812,-5.07705,452.31,467.566,-9.59918,397.532,241.214,-68.2523,347.932,189.576,148.848,394.636,195.582,56.4072,95.0929,862.63,21.74,126.12,670.169,-17.6132,122.958,463.416,-14.6569,173.902,220.003,-73.9956,231.971,194.272,132.283,168.414,197.63
45,0,96.1141,423.087,1160.96,115.648,142.419,1155.11,-112.957,315.606,1197.77,-100.659,213.352,1192.8,26.8814,481.553,870.003,9.01687,452.51,670.808,-5.03906,452.316,467.562,-9.59204,397.531,241.212,-68.2581,347.935,189.586,148.85,394.634,195.581,56.4587,95.1095,862.625,21.7757,126.133,670.168,-17.5944,122.97,463.421,-14.656,173.904,220.005,-73.9972,231.972,194.274,132.284,168.415,197.63
46,0,96.1922,423.117,1160.95,115.705,142.445,1155.1,-112.892,315.654,1197.79,-100.593,213.395,1192.81,26.9378,481.576,869.997,9.07768,452.522,670.804,-5.00137,452.323,467.558,-9.58496,397.531,241.209,-68.2638,347.938,189.596,148.853,394.632,195.579,56.51,95.1257,862.62,21.8112,126.147,670.167,-17.5757,122.983,463.425,-14.6551,173.907,220.006,-73.9989,231.972,194.275,132.284,168.416,197.63
